nome,sigla,codigo,tipo,vel_max_kmh,raio_m,ativo,pedagio,rodoviaria,garagem,lat,lng
ECO POSTO DETRAN RECIFE - EMBARQUE,DETRAN EMB,179,Ponto de Controle - 12,0,25,false,false,false,false,-8.033239,-34.941661
CAMPO ALEGRE - AL / RESTAURANTE DIVINO SABOR,DIVINO SAB,453,Local Não Autorizado - 42,0,50,false,false,false,false,-9.778603,-36.353153
IPUTINGA - PB - DOM PAULIS,DOM PAULIS,201,Local Não Autorizado - 42,10,50,false,false,false,false,-8.691189,-35.601221
MOSSORÓ - RN - POST. DOMINGOS,DOMINGOS,403,Local Não Autorizado - 42,10,50,false,false,false,false,-5.088306,-37.335638
QUIPAPÁ - PE  - REST. DONA MARTA,DONA MARTA,397,Local Não Autorizado - 42,10,50,false,false,false,false,-9.897761,-36.439734
RODOVIARIA DE EUCLIDES DA CUNHA - BA,ECN,272,Ponto de Controle - 12,10,50,false,false,true,false,-10.50289,-39.010533
BR 101 - PE / ECOPOSTO,ECOPOSTO,428,Local Não Autorizado - 42,0,50,false,false,true,false,-7.792677,-34.928006
POSTO ELITE 2 - AMELIA RODRIGUES BA,ELITE 2,44,Ponto de Controle - 12,0,150,false,false,false,false,-12.361132,-38.835973
CAPIM GROSSO - BA -  POSTO ELITE 03,ELITE3-CG,425,Ponto de Controle - 12,0,65,false,false,false,false,-11.384899,-39.994756
RODOVIARIA DE ELISEU MARTINS - PI,ELS,259,Ponto de Controle - 12,10,50,false,false,true,false,-8.104206,-43.660123
RODOVIARIA DE ESPLANADA - BA,ESP,261,Ponto de Controle - 12,10,50,false,false,true,false,-11.787566,-37.950234
VITORIA DA CONQUISTA - BA - REST. ESPETÃO GAUCHO,ESPETÃO GA,470,Local Não Autorizado - 42,0,50,false,false,false,false,-14.8071,-40.784318
ROD. DE ESTANCIA,ESTANCIA,437,Ponto de Controle - 12,0,50,false,false,true,false,-11.274062,-37.447313
GRAAL ESTIVA  - ESTIVA MG,ESTIVA,175,Ponto de Controle - 12,0,99,false,false,false,false,-22.457715,-46.007634
RODOVIARIA DE ESTIVA - MG,ESV,271,Ponto de Controle - 12,10,18,false,false,true,false,-22.464535,-46.015902
RODOVIARIA DE ENTRE RIOS - BA,ETR,260,Ponto de Controle - 12,10,55,false,false,true,false,-11.94634,-38.068983
CHURRASCARIA ESTRELA DO SUL / SANTO ESTEVÃO - BA,ETREL.SUL2,443,Ponto de Controle - 12,0,50,false,false,false,false,-12.461978,-39.27188
EXPRESSO 060 - BSB,EX060,49,Ponto de Controle - 12,10,70,false,false,false,false,-16.00812,-48.245772
RODOVIARIA DE EXTREMA - MG,EXM,273,Ponto de Controle - 12,10,35,false,false,true,false,-22.856498,-46.324807
RODOVIARIA  FRANCISCO SA - MG,FCS,45,Ponto de Controle - 12,100,25,false,false,true,false,-16.476542,-43.496237
RODOVIARIA FORTALEZA - CE,FOR,8,Ponto de Controle - 12,0,80,false,false,true,false,-3.757727,-38.530662
RODOVIARIA DE FORMOSA - GO,FORMOSA,31,Ponto de Controle - 12,0,50,false,false,true,false,-15.550783,-47.337516
GARAGEM BARREIRAS BA,GAR BES,116,Ponto de Fechamento - 1,5,50,false,false,false,true,-12.133253,-45.015509
