Código,Cód. Emb.,Desc. Resumida,Descrição,Unidade Empresarial,Tipo,Ajuste Horário,Raio,Raio Advert.,Vel.,Grupo PC.,Dist. uso vel.,Código externo,Ativo,Pedágio,Rodoviária,Suspensão,Garagem,Online,Auxlilar,Seletivo,Ponto Vel.,Area Vel.,Direções,Latitude,Longitude,Chave,Data Cadastro,Data Alteração
166,166,JACOBINA,RODOVIARIA DE JACOBINA-BA,Kandango Parceiras,Ponto de Controle - 12,0,60,60,0,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-11.184665,-40.520863,1,2024-10-24 09:34:59,2025-09-18 08:35:34
294,280,JGQ,RODOVIARIA DE JAGUAQUARA - BA,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-13.526083,-39.971393,0,2025-08-11 15:36:10,2025-09-18 08:36:23
296,282,JML,RODOVIARIA DE JOAO MONLEVADE - MG,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-19.840214,-43.196541,0,2025-08-11 15:42:46,2025-09-18 08:37:20
413,389,JORGINHO,PORÇÕES - BA - POST. JORGINHO,Kandango Parceiras,Local Não Autorizado - 42,0,50,50,10,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-14.568030,-40.419272,0,2025-09-01 16:33:23,2025-09-17 15:55:46
6,5,JPA,RODOVIARIA JOÃO PESSOA- PB,Kandango Parceiras,Ponto de Controle - 12,0,100,120,10,Não Informado,0.0,-,F,F,S,F,N,T,T,F,F,F,,-7.118322,-34.891108,0,2023-09-20 12:24:33,2025-09-24 13:57:57
295,281,JRG,RODOVIARIA DE JARAGUA - GO,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-15.756650,-49.330030,0,2025-08-11 15:39:43,2025-09-18 08:38:27
157,157,JUAZEIRO,RODOVIARIA DE JUAZEIRO DO NORTE - CE,Kandango Parceiras,Ponto de Controle - 12,0,50,50,0,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-7.226530,-39.322537,1,2024-10-22 14:07:43,2025-09-18 08:39:32
162,162,JUAZEIROBA,RODOVIARIA DE JUAZEIRO-BA,Kandango Parceiras,Ponto de Controle - 12,0,50,50,0,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-9.437257,-40.496876,1,2024-10-24 09:12:33,2025-09-18 08:40:45
172,172,JUNDIAI,RODOVIARIA DE JUNDIAI-SP,Kandango Parceiras,Ponto de Controle - 12,0,65,80,0,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-23.207289,-46.895503,1,2024-10-24 11:36:18,2025-09-17 08:31:52
477,443,KAMBUI,LEME - SP - CHURR KAMBUI,Kandango Parceiras,Local Não Autorizado - 42,0,50,50,0,Não Informado,0.0,-,F,F,N,F,N,T,F,F,F,F,,-22.134075,-47.409577,0,2026-03-19 14:31:21,2026-03-19 14:31:21
389,372,Kambui Res,ORLANDIA - SP / Kambui Restaurante,Kandango Parceiras,Ponto de Controle - 12,0,150,150,10,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-20.698716,-47.893183,1,2025-08-25 17:33:13,2025-09-18 09:29:51
34,33,LABRESCIA,CHURRASCARIA GAUCHA LABRESCIA  PATOS DE MINAS - MG,Kandango Parceiras,Ponto de Controle - 12,0,20,20,10,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-18.641958,-46.497602,0,2023-09-20 15:09:11,2025-09-18 09:31:19
297,283,LAJ,RODOVIARIA DE LAJE - BA,Kandango Parceiras,Ponto de Controle - 12,0,12,12,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-13.180334,-39.417111,0,2025-08-11 15:46:55,2025-09-18 08:49:58
171,171,LEME,RODOVIARIA DE LEME-SP,Kandango Parceiras,Ponto de Controle - 12,0,50,50,0,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-22.189869,-47.396082,1,2024-10-24 11:07:23,2025-09-18 08:50:42
298,284,LFS,RODOVIARIA DE LAURO DE FREITAS - BA,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-12.897531,-38.333006,0,2025-08-11 15:49:46,2025-09-18 08:51:53
301,287,LNA,RODOVIARIA DE LORENA - SP,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-22.740256,-45.119554,0,2025-08-11 16:02:01,2025-09-18 08:53:01
299,285,LPD,RODOVIARIA DE LEOPOLDINA - MG,Kandango Parceiras,Ponto de Controle - 12,0,60,60,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-21.532174,-42.634679,0,2025-08-11 15:52:08,2025-09-18 08:53:51
